"Milk supply and dairy production by dairy factories"
""
"";"Topic"
"";"Milk supply|Volume";"Milk supply|Fat content";"Milk supply|Protein content";"Dairy production|Butter";"Dairy production|Cheese";"Dairy production|Milk powder|Total Milk powder";"Dairy production|Milk powder|Whole milk powder";"Dairy production|Milk powder|Skimmed-milk powder";"Dairy production|Concentrated milk";"Dairy production|Whey powder"
"Periods";"1 000 kg";"%";"%";"1 000 kg";"1 000 kg";"1 000 kg";"1 000 kg";"1 000 kg";"1 000 kg";"1 000 kg"
"2016 November";"1112,734";"4.55";"3.67";"12142";"70735";"18121";"13370";"4751";"28779";"."
"2016 December";"1204,713";"4.58";"3.65";"12568";"75601";"22688";"16726";"5963";"28748";"."
"2016";"14324,438";"4.40";"3.54";"161311";"887812";"235863";"165658";"70205";"372221";"."
"2017 January";"1227,142";"4.54";"3.61";"14040";"75698";"21616";"15530";"6087";"31904";"."
"2017 February";"1120,509";"4.52";"3.60";"12436";"67995";"20666";"15250";"5416";"31709";"."
"2017 March";"1248,567";"4.45";"3.56";"12042";"75738";"21437";"16091";"5346";"30312";"."
"2017 April";"1213,514";"4.40";"3.56";"13206";"73058";"23741";"17908";"5834";"28788";"."
"2017 May";"1255,665";"4.29";"3.54";"12739";"72978";"23397";"17768";"5629";"29018";"."
"2017 June";"1194,276";"4.17";"3.45";"12261";"71097";"18968";"13698";"5271";"32052";"."
"2017 July";"1193,233";"4.17";"3.45";"10736";"73431";"19846";"15730";"4116";"31558";"."
"2017 August";"1182,404";"4.20";"3.50";"11392";"75783";"16584";"12536";"4047";"36233";"."
"2017 September";"1140,773";"4.31";"3.57";"9741";"71290";"19108";"13873";"5235";"30021";"."
"2017 October";"1172,601";"4.39";"3.60";"13760";"72403";"20602";"14718";"5884";"30085";"."
"2017 November";"1144,448";"4.47";"3.65";"12578";"69905";"21207";"15149";"6058";"27617";"."
"2017 December";"1202,801";"4.51";"3.65";"14084";"74863";"22714";"15896";"6818";"27687";"."
"2017";"14295,931";"4.37";"3.56";"149015";"874238";"249887";"184146";"65740";"366985";"."
"2018 January";"1229,448";"4.47";"3.60";"13404";"75269";"23576";"16354";"7222";"29280";"."
"2018 Februay";"1107,347";"4.53";"3.62";"13582";"68214";"21079";"15431";"5648";"26969";"."
"2018 March";"1216,670";"4.54";"3.62";"14251";"76889";"21705";"15538";"6167";"27248";"."
"2018 April";"1192,997";"4.40";"3.54";"13992";"73710";"20921";"15073";"5848";"22761";"."
"2018 May";"1237,622";"4.26";"3.49";"14893";"74740";"20069";"14533";"5536";"27467";"."
"2018 June";"1176,346";"4.11";"3.44";"11714";"71338";"19740";"13622";"6118";"28487";"."
"2018 July";"1179,544";"4.14";"3.43";"12286";"73373";"19497";"14268";"5229";"28530";"."
"2018 August";"1147,894";"4.17";"3.43";"11666";"72946";"14549";"9940";"4609";"31216";"."
"2018 September";"1089,150";"4.31";"3.56";"10383";"71963";"17446";"11908";"5538";"27444";"."
"2018 October";"1108,842";"4.41";"3.63";"12639";"73524";"15226";"10541";"4685";"29448";"."
"2018 November";"1066,585";"4.53";"3.68";"11364";"72311";"14207";"10778";"3429";"32935";"."
"2018 December";"1128,475";"4.54";"3.64";"13500";"74630";"18366";"13394";"4973";"31512";"."
"2018 ";"13880,920";"4.37";"3.56";"153674";"878908";"226382";"161381";"65001";"343298";"."
"2019 January";"1167,785";"4.53";"3.62";"11231";"80401";"19790";"14272";"5518";"33356";"."
"2019 February";"1087,913";"4.53";"3.60";"11427";"74780";"17836";"12266";"5570";"32639";"."
"2019 March";"1188,606";"4.49";"3.59";"12514";"79330";"20624";"14859";"5765";"33048";"."
"2019 April";"1174,334";"4.39";"3.59";"12336";"79438";"20183";"14028";"6155";"32928";"."
"2019 May";"1208,136";"4.35";"3.58";"12139";"80843";"21188";"14095";"7093";"32932";"."
"2019 June";"1145,233";"4.26";"3.51";"11849";"77381";"21933";"16528";"5405";"32062";"."
"2019 July";"1162,617";"4.21";"3.44";"11553";"77479";"20093";"15030";"5063";"32523";"."
"2019 August";"1158,400";"4.23";"3.46";"10293";"76604";"20504";"15374";"5131";"31762";"."
"2019 September";"1108,225";"4.35";"3.56";"10444";"75415";"19529";"14873";"4656";"32335";"."
"2019 October";"1132,130";"4.49";"3.63";"11124";"72065";"19654";"14565";"5089";"32630";"."
"2019 November";"1097,848";"4.57";"3.73";"9650";"72259";"19585";"15230";"4355";"32723";"."
"2019 December";"1170,932";"4.57";"3.65";"11964";"74816";"23040";"16003";"7037";"31894";"."
"2019";"13802,159";"4.41";"3.58";"136524";"920809";"243958";"177122";"66836";"390833";"."
"2020 January";"1207,260";"4.53";"3.60";"11216";"75877";"23092";"16601";"6490";"40639";"."
"2020 February";"1144,895";"4.49";"3.59";"10808";"74389";"24128";"17015";"7113";"29183";"."
"2020 March";"1225,391";"4.52";"3.59";"11810";"85988";"21685";"14707";"6977";"33248";"."
"2020 April";"1194,694";"4.43";"3.60";"12043";"81706";"22624";"16447";"6177";"32217";"."
"2020 May";"1215,935";"4.34";"3.58";"11544";"84458";"22707";"16749";"5959";"32302";"."
"2020 June";"1157,087";"4.35";"3.53";"9904";"82106";"18342";"14793";"3549";"34781";"."
"2020 July";"1177,026";"4.25";"3.51";"10047";"83246";"18234";"12171";"6063";"33130";"."
"2020 August";"1142,547";"4.21";"3.47";"10859";"79477";"19328";"13204";"6123";"32945";"."
"2020 September";"1112,529";"4.33";"3.57";"9660";"79719";"17916";"13488";"4427";"30268";"."
"2020 October";"1136,326";"4.50";"3.64";"12289";"82641";"20271";"13148";"7123";"32854";"."
"2020 November";"1104,019";"4.53";"3.65";"11292";"79215";"18213";"12811";"5402";"33426";"."
"2020 December";"1168,987";"4.57";"3.65";"12134";"83913";"21576";"16472";"5105";"28860";"."
"2020";"13986,695";"4.42";"3.58";"133605";"972734";"248115";"177605";"70510";"393852";"."
"2021 January*";"1187,954";"4.58";"3.65";"13174";"83896";"18373";"10564";"7809";"35531";"."
"2021 February*";"1081,786";"4.60";"3.64";"11569";"74545";"16727";"9986";"6741";"33323";"."
"2021 March*";"1214,580";"4.57";"3.62";"13382";"84301";"18116";"10903";"7213";"31265";"."
"2021 April*";"1182,600";"4.53";"3.63";"13483";"83103";"21812";"12122";"9690";"33365";"."
"2021 May*";"1213,255";"4.41";"3.57";"11662";"83837";"21293";"11185";"10108";"33342";"."
"2021 June*";"1128,189";"4.27";"3.50";"10155";"77184";"19595";"11106";"8489";"32927";"."
"2021 July*";"1138,410";"4.23";"3.48";"11228";"76976";"17807";"11020";"6787";"32571";"."
"2021 August*";"1123,391";"4.29";"3.51";"10956";"76877";"17480";"11897";"5583";"32654";"."
"2021 September*";"1064,517";"4.34";"3.67";"9105";"74810";"14309";"7917";"6392";"31881";"."
"2021 October*";"1087,524";"4.47";"3.60";"11243";"77558";"13688";"8143";"5545";"31831";"."
"2021 November*";"1059,600";"4.53";"3.60";"9579";"75359";"14187";"5727";"8460";"31664";"."
"2021 December*";"1121,498";"4.56";"3.59";"11967";"78314";"15751";"7582";"8169";"31290";"."
"2021*";"13603,304";"4.45";"3.59";"137503";"946760";"209138";"118152";"90986";"391644";"."
"2022 January*";"1157,925";"4.53";"3.57";"11895";"78898";"16204";"7489";"8715";"32113";"."
"2022 February*";"1067,665";"4.51";"3.57";"11825";"73682";"15195";"7153";"8042";"31587";"."
"2022 March*";"1187,383";"4.52";"3.57";"11911";"79354";"17082";"7943";"9139";"32598";"."
"2022 April*";"1154,138";"4.47";"3.54";"12456";"79752";"17388";"8149";"9239";"31945";"."
"2022 May*";"1206,816";"4.34";"3.52";"14109";"81443";"19391";"9568";"9823";"32212";"."
"2022 June*";"1148,199";"4.25";"3.48";"11632";"79422";"19407";"8906";"10501";"31354";"."
"2022 July*";"1164,104";"4.20";"3.45";"12302";"79107";"18633";"8328";"10305";"31446";"."
"2022 August*";"1147,712";"4.21";"3.46";"11951";"77360";"16044";"6365";"9679";"31548";"."
"2022 September*";"1105,982";"4.36";"3.53";"11705";"76128";"14847";"6043";"8804";"31371";"."
"2022 October*";"1139,853";"4.49";"3.63";"12947";"60315";"16640";"6263";"10377";"31192";"."
"Source: RVO"
