"Milk supply and dairy production by dairy factories"
""
"";"Topic"
"";"Milk supply|Volume";"Milk supply|Fat content";"Milk supply|Protein content";"Dairy production|Butter";"Dairy production|Cheese";"Dairy production|Milk powder|Total Milk powder";"Dairy production|Milk powder|Whole milk powder";"Dairy production|Milk powder|Skimmed-milk powder";"Dairy production|Concentrated milk";"Dairy production|Whey powder"
"Periods";"1 000 kg";"%";"%";"1 000 kg";"1 000 kg";"1 000 kg";"1 000 kg";"1 000 kg";"1 000 kg";"1 000 kg"
"2000 February";"860157";"4.49";"3.46";"11213";"55732";"13440";"8938";"4502";"22340";"."
"2000 March";"887320";"4.51";"3.46";"12051";"59466";"13996";"8052";"5944";"23693";"."
"2000 April";"912957";"4.47";"3.42";"12159";"56067";"13960";"7640";"6320";"22542";"."
"2000 May";"955278";"4.27";"3.38";"12160";"57190";"15058";"9374";"5684";"25224";"."
"2000 June";"916721";"4.21";"3.41";"11264";"55035";"15408";"9635";"5773";"23038";"."
"2000 July";"913160";"4.19";"3.42";"10486";"54520";"14510";"8054";"6456";"22513";"."
"2000 August";"889049";"4.18";"3.42";"8275";"57503";"13599";"8716";"4883";"20763";"."
"2000 September";"862395";"4.29";"3.49";"7065";"56331";"11373";"6629";"4744";"22173";"."
"2000 October";"867685";"4.44";"3.61";"8325";"58417";"11138";"7237";"3901";"24278";"."
"2000 November";"839607";"4.57";"3.55";"9589";"56737";"10202";"6174";"4028";"23070";"."
"2000 December";"909091";"4.44";"3.52";"11321";"57307";"15342";"9075";"6267";"24215";"."
"2000";"10733,600";"4.38";"3.47";"126200";"683600";"166000";"96700";"69300";"273500";"129700"
"2001 January";"914682";"4.61";"3.51";"12623";"57262";"14078";"8410";"5668";"24501";"."
"2001 February";"849811";"4.57";"3.47";"11114";"52207";"13101";"8252";"4849";"26714";"."
"2001 March";"876672";"4.57";"3.48";"10796";"53217";"13777";"10245";"3532";"26789";"."
"2001 April";"917723";"4.54";"3.43";"12206";"53786";"15512";"8507";"7005";"25649";"."
"2001 May";"971039";"4.42";"3.40";"12398";"55872";"17203";"9317";"7886";"25653";"."
"2001 June";"951882";"4.27";"3.42";"11885";"52860";"17109";"10615";"6494";"24036";"."
"2001 July";"932724";"4.17";"3.38";"11082";"56051";"14159";"8785";"5374";"23169";"."
"2001 August";"903634";"4.18";"3.38";"9136";"56910";"13467";"8948";"4519";"24614";"."
"2001 September";"847682";"4.31";"3.46";"7691";"53958";"11593";"7693";"3900";"24322";"."
"2001 October";"875759";"4.42";"3.50";"10148";"54474";"13459";"7596";"5863";"26246";"."
"2001 November";"872212";"4.56";"3.55";"9823";"52811";"14679";"9090";"5589";"27454";"."
"2001 December";"914581";"4.65";"3.57";"11496";"52392";"17765";"9355";"8410";"25353";"."
"2002 January";"888927";"4.64";"3.53";"11910";"54338";"15659";"8429";"7230";"21941";"."
"2002 February";"775809";"4.54";"3.48";"10281";"46135";"14253";"7835";"6418";"23133";"."
"2002 March";"843880";"4.57";"3.48";"10561";"50341";"14473";"8899";"5574";"25321";"."
"2002 April";"882720";"4.53";"3.46";"12020";"53173";"14848";"8329";"6519";"22464";"."
"2002 May";"915955";"4.39";"3.40";"12157";"54429";"14994";"8654";"6340";"22948";"."
"2002 June";"879017";"4.25";"3.39";"10078";"50553";"13221";"7838";"5383";"21885";"."
"2002 July";"885023";"4.16";"3.40";"10793";"53086";"15248";"9006";"6242";"22529";"."
"2002 August";"873311";"4.15";"3.35";"8121";"53051";"12746";"8514";"4232";"22726";"."
"2002 September";"822358";"4.27";"3.46";"6416";"53836";"10773";"6854";"3919";"21130";"."
"2002 October";"858195";"4.46";"3.57";"8504";"58930";"11606";"7375";"4231";"23713";"."
"2002 November";"836973";"4.56";"3.48";"7496";"55351";"11244";"7512";"3732";"23868";"."
"2002 December";"894933";"4.62";"3.56";"11063";"55776";"16236";"9921";"6315";"24142";"."
"2003 January";"923581";"4.58";"3.52";"12180";"57495";"16611";"10210";"6401";"24385";"."
"2003 February";"831663";"4.58";"3.51";"10472";"51642";"15665";"9654";"6011";"20968";"."
"2003 March";"914580";"4.51";"3.48";"11274";"55670";"16172";"9683";"6489";"22904";"."
"2003 April";"902377";"4.47";"3.45";"11184";"54041";"16833";"10033";"6800";"22378";"."
"2003 May";"957988";"4.33";"3.43";"11678";"55529";"18056";"10898";"7158";"24663";"."
"2003 June";"886974";"4.17";"3.37";"8941";"52105";"13626";"8707";"4919";"23384";"."
"2003 July";"909078";"4.13";"3.39";"9121";"54487";"15551";"10177";"5374";"22700";"."
"2003 August";"882573";"4.12";"3.35";"7091";"54426";"13186";"9787";"3399";"25555";"."
"2003 September";"877872";"4.30";"3.47";"7665";"55156";"13073";"9126";"3947";"21047";"."
"2003 October";"891775";"4.50";"3.61";"7870";"58276";"14071";"9022";"5049";"23981";"."
"2003 November";"834164";"4.60";"3.59";"8530";"54296";"13551";"9084";"4467";"22025";"."
"2003 December";"883774";"4.56";"3.53";"10394";"54778";"15805";"9714";"6091";"23710";"."
"2004 January";"898295";"4.56";"3.48";"9016";"57011";"15497";"9476";"6021";"22578";"."
"2004 February";"820157";"4.52";"3.45";"7415";"51404";"13233";"8710";"4523";"20890";"."
"2004 March";"853169";"4.57";"3.48";"9280";"55869";"12151";"8894";"3257";"23925";"."
"2004 April";"907755";"4.46";"3.46";"9324";"55855";"13146";"9100";"4046";"23211";"."
