date,rain,mintp,maxtp,soil
2015-01,3.7774193548387096,2.3419354838709676,8.374193548387098,5.138709677419354
2015-02,1.8714285714285714,1.7964285714285713,7.703571428571428,4.623214285714285
2015-03,2.864516129032258,3.0483870967741935,9.996774193548386,6.757258064516129
2015-04,0.5333333333333333,4.786666666666666,12.786666666666667,10.514999999999999
2015-05,4.429032258064517,6.47741935483871,13.654838709677419,12.09274193548387
2015-06,1.8099999999999998,9.073333333333332,16.933333333333334,15.280000000000001
2015-07,5.12258064516129,10.45483870967742,16.961290322580645,15.235483870967743
2015-08,3.261290322580645,10.303225806451612,17.241935483870968,15.047580645161291
2015-09,3.253333333333333,9.453333333333335,15.463333333333333,13.321666666666665
2015-10,2.661290322580645,8.27741935483871,13.654838709677419,11.341129032258063
2015-11,4.6433333333333335,6.746666666666667,12.176666666666668,9.585833333333333
2015-12,12.974193548387097,5.541935483870968,11.01290322580645,8.41451612903226
2016-01,8.119354838709677,3.6129032258064515,8.596774193548388,5.921774193548386
2016-02,5.203448275862069,1.9551724137931035,8.062068965517241,5.241379310344827
2016-03,2.7225806451612904,3.0258064516129033,9.141935483870967,6.422580645161291
2016-04,3.4433333333333334,3.8266666666666667,10.853333333333333,8.404166666666667
2016-05,2.7548387096774194,8.125806451612904,15.73225806451613,13.405645161290321
2016-06,2.1866666666666665,10.860000000000001,17.84333333333333,16.5375
2016-07,1.829032258064516,11.90967741935484,18.406451612903226,16.791129032258063
2016-08,2.732258064516129,11.535483870967743,18.370967741935484,16.54032258064516
2016-09,4.543333333333334,10.293333333333333,16.453333333333333,14.055833333333334
2016-10,1.570967741935484,8.438709677419356,13.325806451612904,10.941935483870967
2016-11,1.3566666666666667,3.0266666666666664,8.833333333333334,6.179166666666666
2016-12,3.0387096774193547,5.003225806451613,9.738709677419354,6.912096774193548
2017-01,3.5,4.103225806451613,8.541935483870969,6.023387096774194
2017-02,4.046428571428572,3.667857142857143,9.389285714285714,6.502678571428571
2017-03,3.7096774193548385,4.974193548387096,11.206451612903225,8.191129032258065
2017-04,0.8200000000000001,5.7,12.316666666666666,10.379166666666666
2017-05,1.9548387096774194,8.13225806451613,15.135483870967741,13.401612903225805
2017-06,3.6333333333333333,10.566666666666666,17.459999999999997,16.141666666666666
2017-07,1.941935483870968,11.383870967741935,19.225806451612904,17.22741935483871
2017-08,2.329032258064516,10.903225806451612,17.774193548387096,15.454032258064515
2017-09,5.633333333333334,9.473333333333333,15.879999999999999,13.417499999999999
2017-10,4.125806451612903,8.583870967741936,14.103225806451613,11.862903225806452
2017-11,2.493333333333333,5.0633333333333335,10.313333333333333,8.0
2017-12,4.074193548387097,3.8451612903225807,8.848387096774195,5.934677419354839
2018-01,5.051612903225807,3.3193548387096774,9.038709677419355,5.541935483870968
2018-02,1.7392857142857143,1.2464285714285714,6.875,4.183928571428572
2018-03,5.319354838709677,1.3129032258064517,7.493548387096775,4.661290322580645
2018-04,6.0233333333333325,5.430000000000001,11.389999999999999,8.978333333333333
2018-05,2.670967741935484,7.925806451612903,15.661290322580646,13.278225806451612
2018-06,0.3466666666666667,11.743333333333334,19.84333333333333,18.824166666666667
2018-07,1.2935483870967743,12.841935483870968,21.874193548387098,19.780645161290323
2018-08,1.903225806451613,11.338709677419354,18.89032258064516,16.779838709677417
2018-09,2.58,8.686666666666667,15.95,13.543333333333333
2018-10,1.9999999999999998,6.812903225806451,12.98709677419355,10.35725806451613
2018-11,6.716666666666667,5.61,10.303333333333335,7.721666666666667
2018-12,6.232258064516129,6.019354838709678,10.54516129032258,7.931451612903226
2019-01,2.396774193548387,4.467741935483871,8.241935483870968,6.55241935483871
2019-02,2.9107142857142856,4.882142857142857,9.775,7.003571428571428
2019-03,4.148387096774194,3.5161290322580645,10.958064516129031,7.679032258064517
2019-04,4.526666666666667,5.86,11.879999999999999,9.875
2019-05,1.3225806451612903,7.483870967741935,14.625806451612904,13.253225806451614
2019-06,3.683333333333333,9.023333333333333,15.946666666666665,14.251666666666667
2019-07,1.4161290322580644,12.483870967741936,19.56451612903226,17.953225806451613
2019-08,3.4709677419354836,11.832258064516129,18.629032258064516,16.051612903225806
2019-09,3.0366666666666666,10.020000000000001,17.273333333333333,14.8125
2019-10,5.780645161290322,6.935483870967742,12.751612903225807,10.018548387096773
2019-11,4.833333333333333,4.326666666666667,8.876666666666667,6.808333333333334
2019-12,4.051612903225807,3.6129032258064515,8.82258064516129,5.720967741935484
2020-01,3.6193548387096777,3.629032258064516,8.674193548387096,5.720967741935484
2020-02,6.872413793103449,2.993103448275862,8.96551724137931,5.801724137931035
2020-03,2.0870967741935487,2.6580645161290324,9.606451612903227,6.377419354838709
2020-04,2.4099999999999997,6.006666666666666,13.123333333333333,10.5075
2020-05,2.2193548387096773,7.787096774193548,15.09032258064516,13.38225806451613
2020-06,3.1366666666666663,10.193333333333333,16.93,15.330000000000002
2020-07,3.148387096774193,11.161290322580646,18.4741935483871,16.23467741935484
2020-08,5.645161290322581,12.187096774193549,18.887096774193548,16.441935483870967
2020-09,1.9400000000000002,10.106666666666666,16.826666666666668,14.380833333333333
2020-10,3.825806451612903,6.596774193548387,12.745161290322581,10.071774193548388
2020-11,5.36,5.846666666666667,10.82,8.5225
2020-12,5.980645161290322,3.045161290322581,7.929032258064517,5.325806451612903
