"STATISTIC","STATISTIC Label","TLIST(M1)","Month","C02136V02577","Product","UNIT","VALUE"
"AJM07","Manufacturing Milk Prices (including VAT)","200610","2006 October","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.27"
"AJM07","Manufacturing Milk Prices (including VAT)","200611","2006 November","1","Milk (per litre), actual fat and protein","Euro","0.296"
"AJM07","Manufacturing Milk Prices (including VAT)","200611","2006 November","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.277"
"AJM07","Manufacturing Milk Prices (including VAT)","200612","2006 December","1","Milk (per litre), actual fat and protein","Euro","0.288"
"AJM07","Manufacturing Milk Prices (including VAT)","200612","2006 December","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.277"
"AJM07","Manufacturing Milk Prices (including VAT)","200701","2007 January","1","Milk (per litre), actual fat and protein","Euro","0.282"
"AJM07","Manufacturing Milk Prices (including VAT)","200701","2007 January","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.276"
"AJM07","Manufacturing Milk Prices (including VAT)","200702","2007 February","1","Milk (per litre), actual fat and protein","Euro","0.269"
"AJM07","Manufacturing Milk Prices (including VAT)","200702","2007 February","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.263"
"AJM07","Manufacturing Milk Prices (including VAT)","200703","2007 March","1","Milk (per litre), actual fat and protein","Euro","0.251"
"AJM07","Manufacturing Milk Prices (including VAT)","200703","2007 March","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.247"
"AJM07","Manufacturing Milk Prices (including VAT)","200704","2007 April","1","Milk (per litre), actual fat and protein","Euro","0.272"
"AJM07","Manufacturing Milk Prices (including VAT)","200704","2007 April","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.276"
"AJM07","Manufacturing Milk Prices (including VAT)","200705","2007 May","1","Milk (per litre), actual fat and protein","Euro","0.292"
"AJM07","Manufacturing Milk Prices (including VAT)","200705","2007 May","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.295"
"AJM07","Manufacturing Milk Prices (including VAT)","200706","2007 June","1","Milk (per litre), actual fat and protein","Euro","0.318"
"AJM07","Manufacturing Milk Prices (including VAT)","200706","2007 June","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.319"
"AJM07","Manufacturing Milk Prices (including VAT)","200707","2007 July","1","Milk (per litre), actual fat and protein","Euro","0.34"
"AJM07","Manufacturing Milk Prices (including VAT)","200707","2007 July","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.34"
"AJM07","Manufacturing Milk Prices (including VAT)","200708","2007 August","1","Milk (per litre), actual fat and protein","Euro","0.375"
"AJM07","Manufacturing Milk Prices (including VAT)","200708","2007 August","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.37"
"AJM07","Manufacturing Milk Prices (including VAT)","200709","2007 September","1","Milk (per litre), actual fat and protein","Euro","0.412"
"AJM07","Manufacturing Milk Prices (including VAT)","200709","2007 September","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.401"
"AJM07","Manufacturing Milk Prices (including VAT)","200710","2007 October","1","Milk (per litre), actual fat and protein","Euro","0.438"
"AJM07","Manufacturing Milk Prices (including VAT)","200710","2007 October","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.413"
"AJM07","Manufacturing Milk Prices (including VAT)","200711","2007 November","1","Milk (per litre), actual fat and protein","Euro","0.451"
"AJM07","Manufacturing Milk Prices (including VAT)","200711","2007 November","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.424"
"AJM07","Manufacturing Milk Prices (including VAT)","200712","2007 December","1","Milk (per litre), actual fat and protein","Euro","0.431"
"AJM07","Manufacturing Milk Prices (including VAT)","200712","2007 December","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.417"
"AJM07","Manufacturing Milk Prices (including VAT)","200801","2008 January","1","Milk (per litre), actual fat and protein","Euro","0.415"
"AJM07","Manufacturing Milk Prices (including VAT)","200801","2008 January","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.403"
"AJM07","Manufacturing Milk Prices (including VAT)","200802","2008 February","1","Milk (per litre), actual fat and protein","Euro","0.405"
"AJM07","Manufacturing Milk Prices (including VAT)","200802","2008 February","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.397"
"AJM07","Manufacturing Milk Prices (including VAT)","200803","2008 March","1","Milk (per litre), actual fat and protein","Euro","0.387"
"AJM07","Manufacturing Milk Prices (including VAT)","200803","2008 March","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.381"
"AJM07","Manufacturing Milk Prices (including VAT)","200804","2008 April","1","Milk (per litre), actual fat and protein","Euro","0.345"
"AJM07","Manufacturing Milk Prices (including VAT)","200804","2008 April","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.347"
"AJM07","Manufacturing Milk Prices (including VAT)","200805","2008 May","1","Milk (per litre), actual fat and protein","Euro","0.332"
"AJM07","Manufacturing Milk Prices (including VAT)","200805","2008 May","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.337"
"AJM07","Manufacturing Milk Prices (including VAT)","200806","2008 June","1","Milk (per litre), actual fat and protein","Euro","0.32"
"AJM07","Manufacturing Milk Prices (including VAT)","200806","2008 June","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.322"
"AJM07","Manufacturing Milk Prices (including VAT)","200807","2008 July","1","Milk (per litre), actual fat and protein","Euro","0.326"
"AJM07","Manufacturing Milk Prices (including VAT)","200807","2008 July","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.324"
